type,year,number
ukpga,1909,30
ukpga,1909,34
ukpga,1909,40
ukpga,1909,43
ukpga,1909,47
ukpga,1910,29
ukpga,1910,8
ukpga,1911,13
ukpga,1911,17
ukpga,1911,18
ukpga,1911,20
ukpga,1911,27
ukpga,1911,28
ukpga,1911,34
ukpga,1911,46
ukpga,1911,49
ukpga,1911,57
ukpga,1911,6
ukpga,1912,10
ukpga,1912,14
ukpga,1912,19
ukpga,1913,16
ukpga,1913,27
ukpga,1913,28
ukpga,1913,30
ukpga,1913,37
ukpga,1914,12
ukpga,1914,13
ukpga,1914,17
ukpga,1914,18
ukpga,1914,1
ukpga,1914,29
ukpga,1914,30
ukpga,1914,43
ukpga,1914,44
ukpga,1914,47
ukpga,1914,48
ukpga,1914,4
ukpga,1914,58
ukpga,1914,59
ukpga,1914,61
ukpga,1914,90
ukpga,1914,91
ukpga,1915,28
ukpga,1915,32
ukpga,1915,40
ukpga,1915,44
ukpga,1915,45
ukpga,1915,46
ukpga,1915,48
ukpga,1915,57
ukpga,1915,60
ukpga,1915,64
ukpga,1915,83
ukpga,1915,89
ukpga,1915,90
ukpga,1915,92
ukpga,1916,104
ukpga,1916,12
ukpga,1916,15
ukpga,1916,21
ukpga,1916,24
ukpga,1916,2
ukpga,1916,31
ukpga,1916,38
ukpga,1916,39
ukpga,1916,50
ukpga,1916,51
ukpga,1916,58
ukpga,1916,60
ukpga,1916,63
ukpga,1916,64
ukpga,1916,65
ukpga,1917,14
ukpga,1917,21
ukpga,1917,31
ukpga,1917,47
ukpga,1917,48
ukpga,1917,51
ukpga,1917,55
ukpga,1917,8
ukpga,1918,13
ukpga,1918,26
ukpga,1918,38
ukpga,1918,39
ukpga,1918,47
ukpga,1918,53
ukpga,1918,54
ukpga,1918,57
ukpga,1918,58
ukpga,1918,64
ukpga,1918,66
ukpga,1919,20
ukpga,1919,21
ukpga,1919,23
ukpga,1919,31
ukpga,1919,35
ukpga,1919,48
ukpga,1919,50
ukpga,1919,53
ukpga,1919,57
ukpga,1919,59
ukpga,1919,62
ukpga,1919,65
ukpga,1919,68
ukpga,1919,69
ukpga,1919,71
ukpga,1919,72
ukpga,1919,75
ukpga,1919,76
ukpga,1919,89
ukpga,1919,91
ukpga,1919,92
ukpga,1919,97
ukpga,1920,16
ukpga,1920,18
ukpga,1920,23
ukpga,1920,24
ukpga,1920,2
ukpga,1920,33
ukpga,1920,34
ukpga,1920,39
ukpga,1920,41
ukpga,1920,43
ukpga,1920,50
ukpga,1920,51
ukpga,1920,55
ukpga,1920,56
ukpga,1920,65
ukpga,1920,67
ukpga,1920,72
ukpga,1920,75
ukpga,1920,79
ukpga,1920,81
ukpga,1921,14
ukpga,1921,20
ukpga,1921,22
ukpga,1921,28
ukpga,1921,29
ukpga,1921,32
ukpga,1921,35
ukpga,1921,39
ukpga,1921,49
ukpga,1921,52
ukpga,1921,55
ukpga,1921,58
ukpga,1921,7
ukpga,1922,16
ukpga,1922,24
ukpga,1922,2
ukpga,1922,31
ukpga,1922,35
ukpga,1922,44
ukpga,1922,46
ukpga,1922,51
ukpga,1922,52
ukpga,1922,55
ukpga,1923,11
ukpga,1923,15
ukpga,1923,17
ukpga,1923,18
ukpga,1923,20
ukpga,1923,27
ukpga,1923,33
ukpga,1923,34
ukpga,1923,4
ukpga,1923,8
ukpga,1924,20
ukpga,1924,21
ukpga,1924,27
ukpga,1924,5
ukpga,1925,18
ukpga,1925,19
ukpga,1925,20
ukpga,1925,21
ukpga,1925,22
ukpga,1925,23
ukpga,1925,24
ukpga,1925,28
ukpga,1925,33
ukpga,1925,34
ukpga,1925,36
ukpga,1925,37
ukpga,1925,38
ukpga,1925,42
ukpga,1925,44
ukpga,1925,61
ukpga,1925,68
ukpga,1925,71
ukpga,1925,72
ukpga,1925,73
ukpga,1925,85
ukpga,1925,86
ukpga,1925,87
ukpga,1925,88
ukpga,1925,90
ukpga,1926,11
ukpga,1926,14
ukpga,1926,15
ukpga,1926,16
ukpga,1926,18
ukpga,1926,21
ukpga,1926,26
ukpga,1926,28
ukpga,1926,29
ukpga,1926,35
ukpga,1926,36
ukpga,1926,39
ukpga,1926,45
ukpga,1926,47
ukpga,1926,48
ukpga,1926,50
ukpga,1926,51
ukpga,1926,52
ukpga,1926,59
ukpga,1926,60
ukpga,1926,61
ukpga,1926,7
ukpga,1927,10
ukpga,1927,12
ukpga,1927,23
ukpga,1927,27
ukpga,1927,35
ukpga,1927,36
ukpga,1927,41
ukpga,1927,43
ukpga,1927,4
ukpga,1928,13
ukpga,1928,15
ukpga,1928,17
ukpga,1928,19
ukpga,1928,21
ukpga,1928,24
ukpga,1928,32
ukpga,1928,34
ukpga,1928,35
ukpga,1928,43
ukpga,1928,44
ukpga,1928,6
ukpga,1929,13
ukpga,1929,14
ukpga,1929,17
ukpga,1929,25
ukpga,1929,28
ukpga,1929,29
ukpga,1929,34
ukpga,1929,5
ukpga,1929,9
ukpga,1930,20
ukpga,1930,24
ukpga,1930,25
ukpga,1930,28
ukpga,1930,39
ukpga,1930,43
ukpga,1931,12
ukpga,1931,24
ukpga,1931,27
ukpga,1931,28
ukpga,1931,33
ukpga,1931,40
ukpga,1931,41
ukpga,1931,44
ukpga,1931,49
ukpga,1931,4
ukpga,1931,7
ukpga,1931,9
ukpga,1932,11
ukpga,1932,12
ukpga,1932,20
ukpga,1932,25
ukpga,1932,26
ukpga,1932,27
ukpga,1932,29
ukpga,1932,34
ukpga,1932,35
ukpga,1932,45
ukpga,1932,48
ukpga,1932,51
ukpga,1932,9
ukpga,1933,12
ukpga,1933,13
ukpga,1933,14
ukpga,1933,17
ukpga,1933,19
ukpga,1933,20
ukpga,1933,2
ukpga,1933,35
ukpga,1933,36
ukpga,1933,41
ukpga,1933,44
ukpga,1933,49
ukpga,1933,4
ukpga,1933,50
ukpga,1933,53
ukpga,1933,6
ukpga,1934,16
ukpga,1934,18
ukpga,1934,20
ukpga,1934,21
ukpga,1934,22
ukpga,1934,32
ukpga,1934,36
ukpga,1934,40
ukpga,1934,41
ukpga,1934,43
ukpga,1934,49
ukpga,1934,50
ukpga,1934,56
ukpga,1934,58
ukpga,1935,11
ukpga,1935,20
ukpga,1935,21
ukpga,1935,24
ukpga,1935,2
ukpga,1935,30
ukpga,1935,3
ukpga,1935,47
ukpga,1936,15
ukpga,1936,17
ukpga,1936,22
ukpga,1936,26
ukpga,1936,27
ukpga,1936,39
ukpga,1936,3
ukpga,1936,43
ukpga,1936,47
ukpga,1936,48
ukpga,1936,49
ukpga,1936,51
ukpga,1936,52
ukpga,1936,5
ukpga,1936,6
ukpga,1937,12
ukpga,1937,15
ukpga,1937,16
ukpga,1937,28
ukpga,1937,32
ukpga,1937,33
ukpga,1937,34
ukpga,1937,37
ukpga,1937,40
ukpga,1937,43
ukpga,1937,46
ukpga,1937,48
ukpga,1937,54
ukpga,1937,59
ukpga,1937,67
ukpga,1938,12
ukpga,1938,13
ukpga,1938,17
ukpga,1938,22
ukpga,1938,24
ukpga,1938,28
ukpga,1938,30
ukpga,1938,31
ukpga,1938,34
ukpga,1938,36
ukpga,1938,39
ukpga,1938,51
ukpga,1938,52
ukpga,1938,54
ukpga,1938,57
ukpga,1938,66
ukpga,1938,70
ukpga,1938,73
ukpga,1939,100
ukpga,1939,102
ukpga,1939,103
ukpga,1939,107
ukpga,1939,117
ukpga,1939,120
ukpga,1939,121
ukpga,1939,13
ukpga,1939,20
ukpga,1939,22
ukpga,1939,31
ukpga,1939,33
ukpga,1939,41
ukpga,1939,43
ukpga,1939,44
ukpga,1939,49
ukpga,1939,51
ukpga,1939,65
ukpga,1939,69
ukpga,1939,71
ukpga,1939,72
ukpga,1939,75
ukpga,1939,80
ukpga,1939,82
ukpga,1939,83
ukpga,1939,89
ukpga,1939,96
ukpga,1940,14
ukpga,1940,26
ukpga,1940,28
ukpga,1940,29
ukpga,1940,31
ukpga,1940,34
ukpga,1940,36
ukpga,1940,42
ukpga,1940,50
ukpga,1940,51
ukpga,1941,12
ukpga,1941,13
ukpga,1941,40
ukpga,1941,41
ukpga,1941,50
ukpga,1942,13
ukpga,1942,17
ukpga,1942,21
ukpga,1942,23
ukpga,1942,26
ukpga,1942,31
ukpga,1942,35
ukpga,1942,40
ukpga,1942,8
ukpga,1943,12
ukpga,1943,14
ukpga,1943,16
ukpga,1943,18
ukpga,1943,25
ukpga,1943,38
ukpga,1943,39
ukpga,1943,40
ukpga,1943,42
ukpga,1943,48
ukpga,1943,9
ukpga,1944,10
ukpga,1944,16
ukpga,1944,22
ukpga,1944,23
ukpga,1944,25
ukpga,1944,26
ukpga,1944,28
ukpga,1944,31
ukpga,1944,5
ukpga,1944,7
ukpga,1945,10
ukpga,1945,12
ukpga,1945,13
ukpga,1945,15
ukpga,1945,16
ukpga,1945,17
ukpga,1945,18
ukpga,1945,18
ukpga,1945,19
ukpga,1945,27
ukpga,1945,28
ukpga,1945,37
ukpga,1945,42
ukpga,1945,43
ukpga,1945,44
ukpga,1945,7
ukpga,1946,27
ukpga,1946,29
ukpga,1946,30
ukpga,1946,35
ukpga,1946,36
ukpga,1946,38
ukpga,1946,40
ukpga,1946,41
ukpga,1946,45
ukpga,1946,49
ukpga,1946,50
ukpga,1946,52
ukpga,1946,54
ukpga,1946,58
ukpga,1946,59
ukpga,1946,63
ukpga,1946,64
ukpga,1946,68
ukpga,1946,73
ukpga,1946,74
ukpga,1946,80
ukpga,1946,81
ukpga,1946,82
